"CODE","DESCRIPTION"
"GPD","BEACH COMBER BOATS & GLASS BOATS UNLIMITED CORP"
"GRUM","GRUMMAN"
"GSY","GLASSTREAM BOATS"
"GTX","GLASTEX CO."
"HAL","HALLET"
"HALM","HALLMARK"
"HAUL","HAULETTE TRAILER"
"HBU","HOLETON BOAT WORKS"
"HBY","HOWMAR BOATS, INC."
"HCB","HOWARD CUSTOM BOATS"
"HD","HARLEY DAVIDSON"
"HDMC","HARLEY DAVIDSON (AMF)"
"HDSN","HUDSON TRAILER"
"HEIL","HEIL"
"HER","HERTERS, INC."
"HEW","HEWES MARINE CO. INC."
"HGB","HORIS"
"HGG","HIGGINBOTHAN BOAT CO."
"HIGH","HIGHWAY TRAILER"
"HIN","HUSTLER INDUSTRIES"
"HINO","HINO"
"HMDE","HOMEMADE"
"HMJ","HOLIDAY MANUFACTURING"
"HND","HONDO BOATS"
"HNK","HANS KLEPPER CORP."
"HOBB","HOBBS TRAILERS"
"HODA","HODAKA"
"HOLR","HOLIDAY RAMBLER"
"HOMD","HOMEMADE MOTORCYCLE"
"HOME","HOMETTE"
"HOND","HONDA"
"HRTI","HERTERS INC."
"HRTO","HORTON"
"HSB","HUSTLER BOATS"
"HSL","HUSTLER BOAT CO. (HUSTLER MARINE CO.& HUSTLER, INC"
"HSP","HYDRO STREAM BOATS"
"HST","HURST ENTERPRISES, INC.(MASTER ENTERPRISES, INC.)"
"HSX","HYDRA-SPORTS, INC."
"HTB","CUSTOM MARINE (HOT BOAT ALLEY & MACHONE BOATS)"
"HUB","HUBBS YACHT SALES, INC."
"HUDS","HUDSON"
"HUL","HULLS, INC. (VALCO ALUMINUM BOATS)"
"HUMM","HUMMER"
"HURU","HUSTLER-RUSTLER"
"HUS","HUSTLER BOAT CO., INC."
"HUSQ","HUSQVARNA MOTORCYCLES"
"HUU","HURST ENTERPRISES, INC."
"HUX","HUSTLER MARINE, INC."
"HVC","U. S. HOVERCRAFT"
"HWE","HOLLYWOOD ENTERPRISES, INC."
"HYD","DYNA-PAC, INC. (HYDROSWIFT CORP)"
"HYUN","HYUNDAI"
"IMPE","IMPERIAL"
"INDI","INDIAN MOTORCYCLES"
"INFI","INFINITI"
"INGS","INGERSOLL-RAND CO."
"INTL","INTERNATIONAL HARVESTER"
"INTL","TRANSTAR"
"IRDG","IRONDOG TRAILERS"
"ISLA","ISLANDER MOTOR HOME"
"ISO","ISO"
"ISU","ISUZU"
"ITAL","ITALJET"
"ITAS","ITASCA MOTOR HOME"
"IVEC","IVECO (MAGIRUS DISTR.)"
"IVEC","IVECO TRUCKS"
"JACC","JAC-TRAC INC."
"JAGU","JAGUAR"
"JAWA","JAWA"
"JBC","JETT BOAT COMPANY (ALUMA-WELD)"
"JBN","JET BOAT ENGINEERING (PERFORMANCE ENGINEERING)"
"JBX","JET BOAT ENGINEERING OF OKLAHOMA"
"JCBE","JCB EXCAVATORS"
"JCE","MAIDEN CRAFT & PRO CRAFT (ASTROGLASS BOATS)"
"JDB","JOHN DORY BOAT WORKS, INC."
"JDER","J DEERE AND COMPANY"
"JEB","JET-STER BOATS"
"JEEP","JEEP"
"JENS","JENSEN"
"JET","GLEN-COE BOAT MFG."
"JHR","INDIAN RIVER BOATS"
"JNC","JEM-CRAFT"
"JRDN","JERR-DAN"
"JRS","KONABOATS, INC. (JRS FIBERGLASS UNLIMITED, INC.)"
"JSB","JET-STER BOAT CO."
"JTA","JET-STER BOATS OF ALABAMA"
"JTB","JET-STER BOAT OF MEMPHIS"
"KAIS","KAISER"
"KARA","KARAVAN TRAILERS, INC."
"KARI","KARI KOOL TRAILER"
"KAW","KAWASAKI MOTORS MFG"
"KAWK","KAWASAKI"
"KBW","KENNEDY BOAT CO."
"KCK","K-CRAFT, INC."
"KENT","KENTUCKY MFG"
"KENY","KENNY BOYCE MOTORCYCLES"
"KIA","KIA MOTOR COMPANY"
"KMCU","KAWASAKI"
"KNG","MASTER MOLDERS, INC. (KINGFISHER FIBERGLASS)"
"KNNW","KENWORTH NORTHWEST"
"KODI","KODIAK"
"KOMA","KOMATSU AMERICAN CORP."
"KOME","KOMETIC"
"KRG","IMAGE BOAT CO. (KRONENBERG INDUSTRIES, INC.)"
"KRU","CRUISERS, INC."
"KST","CHARLOMA FIBERGLASS, INC."
"KTM","KTM"
"KVA","KENOVA INDUSTRIES"
"KW","KENWORTH"
"KWDT","KW DART"
"KYMC","KYMCO SCOOTERS & MOTORCYCLES"
"KYRV","KEYSTONE RV CO."
"LADA","LADA"
"LAMO","LAMBORGHINI"
"LANU","LANDAU MOTOR HOME"
"LAR","LARSON BOAT CO."
"LARV","LARVIN - FIRMA LENKO"
"LAY","LAGUNA YACHTS, INC."
"LBC","LIVINGSTON BOAT CO., INC."
"LBD","LANDAU BOAT CO."
"LBHR","LIEBHERR"
"LBO","LANDAU BOAT COMPANY"
"LBOS","LOAD BOSS, INC."
"LBTY","LIBERTY, INC."
"LCB","LYN-CRAFT BOAT CO."
"LCN","LINCOLN CANOE CO. (MAINE MARINE CO.)"
"LCR","RADISSON CANOES"
"LDMS","LOADMASTER, INC."
"LEL","CAJUN SPECIAL BOATS (LOLELL IND.)"
"LEXS","LEXUS"
"LFZA","LAFORZA UTILITY VEHICLE"
"LINC","LINCOLN"
"LIOL","LIONAL ENTERPRISES INC."
"LMA","CADDO BOAT MFG. CO., INC"
"LNCI","LANCIA"
"LNDR","LAND ROVER"
"LNS","LONE STAR FIBERGLASS CO."
"LONG","LONG MFG"
"LOTU","LOTUS"
"LPB","MAKO SHARK BOATS (LYNCH PERFORMANCE BOATS)"
"LSKP","LORI ENGINEERING CORP."
"LUFK","LUFKIN TRAILERS"
"LUG","LUGER INDUSTRIES, INC."
"LUN","LUND AMERICAN, INC."
"LWN","LOWEINDUSTRIES (CARL A. LOWE INDUSTRIES, INC.)"
"LYN","LYN CRAFT BOAT CO."
"MAC","MACGREGOR YACHT CORP."
"MACK","MACK TRUCKS"
"MAD","MAD RIVER CANOE CO., INC."
"MADM","MADAMI MOTOR SCOOTERS"
"MAG","MAGNUM MARINE"
"MAHA","MARMON HARRINGTON"
"MAK","MONARK BOAT CO."
"MALR","MALLARD"
"MANT","MANTA"
"MASE","MASERATI"
"MASS","MASSEY-FERGUSON INC."
"MASS","MASSEY-FURGUSON"
"MAYB","MAYBACH"
"MAZ","MACS AIRBOATS AND SKIFFS"
"MAZD","MAZDA"
"MBC","MASTERCRAFT BOAT CO."
"MBD","MARLIN BOAT CO."
"MBE","MANTRA BOAT CO."
"MBK","MAKAI BOATS, INC."
"MBP","MITCHELL BOAT CO."
"MCC","MICH-CRAFT CORP"
"MCD","MCDANIEL BOAT CO., INC."
"MCIN","MOTOR COACH INDUSTRIES (MCI)"
"MCLA","MCLAREN"
"MDT","MIDDLE TENNESSEE FIBERGLASS, INC."
"MELR","MELROE DIV (BOBCAT SKID STEER)"
"MERC","MERCURY"
"MERK","MERKUR"
"MERZ","MERCEDES BENZ"
"MESS","MESSERSCHMITT"
"METR","METROPOLITAN"
"MEY","MEYERS INDUSTRIES, INC."
"MFG","MFG BOATS (MOLDED FIBER GLASS BOAT)"
"MFS","WITCHCRAFT & APACHE (MIKE F. SHANNON CO.)"
"MG","MG"
"MG","MGB"
"MGM","MAGTEX CO. (MAGNUM BOAT)"
"MGW","MONTGOMERY WARD CO."
"MHP","MEL-HART PRODUCTS, INC."
"MIDS","MIDAS MOTOR HOME"
"MIFU","MITSUBISHI FUSO"
"MILL","MILLER TRAILERS"
"MITS","MITSUBISHI"
"MKC","MCKEE CRAFT"
"MKS","MAKO, INC"
"MMN","MOHAWK MFG. CO."
"MNNI","MINI (COOPER/COOPER-S) (RIGHTS BOUGHT BY BMW)"
"MNT","MANATEE MARINE PRODUCTS, INC."
"MOBE","MOTO BETA"
"MOGU","MOTO GUZZI"
"MONA","MONARCH"
"MONG","LAC ST-JEAN MOTONEIGE LTD. - SEE MONTAGNAIS"
"MONN","MONON TRAILER DIV."
"MONW","MONTONE MFG"
"MORG","MORGAN"
"MORR","MORRIS"
"MOSK","MOSKOVICH"
"MOWA","MONTGOMERY WARD"
"MPM","COMBEE AIRBOATS, INC."
"MRB","MARQUIS BOAT CO., INC."
"MRCU","MERCURY"
"MRH","MARIAH BOATS"
"MRJ","MARQUIS BOATS, INC."
"MRK","MAKO MARINE, INC."
"MRR","MIRRO MARINE DIV. (MIRROCRAFT & MIRRO MARINE)"
"MSFI","MASSEY-FERGUSON INC."
"MTD","MTD PRODUCTS, INC. (LAWN FLITE - MFD)"
"MTM","MARK TWAIN MARINE INDUSTRIES"
"MTMV","MIGHTY MOVER TRAILERS, INC."
"MTPI","MTD PRODUCTS INC. (COLUMBIA)"
"MUNT","MUNTZ"
"MYW","AMERICAN FIBERLITE, INCORPORATED"
"MZ","MZ"
"NAB","NORTH AMERICAN BOAT CORP."
"NABO","NABORS TRAILERS"
"NAP","LIGHTING BOATS (EXCALIBUR MARINE CORP.)"
"NASH","NASH"
"NAVI","NAVISTAR"
"NDC","NORDIC BOATS"
"NEW","NEWMAN INDUSTRIES, INC."
"NEWL","NEWELL"
"NEWP","NEWPORT"
"NFLY","NEW FLYER"
"NISS","NISSAN"
"NNA","NONA BOAT CO."
"NORT","NORTON"
"NRTS","NORTHWAY"
"NTL","NATIONALBOAT WORKS, INC. (GRADY-WHITE BOATS)"
"NWCT","NORTHWEST CUSTOM TRAILER"
"OCKE","OCKELBO INDUSTRY AB"
"ODGL","ARGO"
"ODSS","ODYSSEY"
"OLDS","OLDSMOBILE"
"OLYM","OLYMPIA"
"OMCJ","JOHNSON (OMC)"
"OPEL","OPEL"
"ORIG","ORIGINAL EQUIPMENT MANUFACTURING LTD."
"OSHK","OSHKOSH MOTOR TRUCK"
"OTPE","OUTDOOR POWER EQUIPMENT"
"OUTM","EVINRUDE - SEE OUTBOARD MARINE CORPORATION"
"OVEL","OVERLAND MOTOR HOMES"
"OVER","OVERLAND"
"PACK","PACKARD"
"PANH","PANHARD"
"PAP","PANTHER AIRBOATS CORP."
"PARO","PACE ARROW"
"PASS","PASSPORT"
"PDC","P & D BOAT CORP."
"PDL","SURFGLAS, INC. (PRINDLE CATAMARANS )"
"PER","PERFORMER BOAT CO."
"PEUG","PEUGEOT"
"PFS","PERFORMANCE SAILCRAFT"
"PHB","PHANTOM BOAT, INC."
"PHOE","PHOENIX"
"PHU","PHANTOM BROTHERS, INC. (PHANTOM BOAT, INC.)"
"PHV","PACIFIC HOVERCRAFT"
"PHX","PHOENIX PRODUCTS, INC."
"PIAG","PIAGGIO"
"PLC","PRO-LINE BOAT CO."
"PLR","POLAR KRAFT MFG. CO."
"PLRN","POLORON"
"PLYC","PLAYCAT INDUSTRIES INC."
"PLYM","PLYMOUTH"
"PMR","PANTHER MARINE CORP."
"PNT","PIONEER BOATS"
"POLA","POLAR MFG"
"POLB","POLAR BEAR"
"POLS","POLARIS INDUSTRIES INC. (E-Z-GO)"
"PONI","PONTIAC"
"PONT","PONTIAC"
"PORS","PORSCHE"
